language,problem_number,suggestion,test_case,output,message
en,15,solution.py,01,"[1, 2, 3]",
en,15,solution.py,02,[1],
en,15,solution.py,03,"[2, 1, 4, None, None, 3, 5]",
en,15,solution.py,04,"[1, 2, 3]",
en,15,solution.py,05,"[1, 2, 3, 4, 5, 6, 7]",
en,15,solution.py,06,"[1, None, 3, 5]",
en,15,solution.py,07,"[1, 2, 3, None, None, 4]",
en,15,solution.py,08,"[1, None, 2, None, 3, None, 4]",
en,15,solution.py,09,"[1, 2, 3, 4]",
en,15,solution.py,10,"[1, 5, 7, 10, None, None, 50, None, None, 40]",
en,15,solution.py,11,"[2, 1, 4, None, 3]",
en,15,solution.py,12,"[1, 2, 3, None, 6, None, 4, 5]",
en,15,solution.py,13,"[4, 2, 6, 1, 3, 5]",
en,15,solution.py,14,"[1, 2, 5, 3, 6]",
en,15,solution.py,15,"[1, None, 2, None, 3]",
en,15,solution.py,sample_01,"[3, 9, 20, None, None, 15, 7]",
en,15,solution.py,sample_02,[-1],
