language,problem_number,suggestion,test_case,output,message
en,24,solution.py,01,4,
en,24,solution.py,02,6,
en,24,solution.py,03,1,
en,24,solution.py,04,1,
en,24,solution.py,05,27,
en,24,solution.py,06,6,
en,24,solution.py,07,4,
en,24,solution.py,08,31,
en,24,solution.py,09,1,
en,24,solution.py,10,2,
en,24,solution.py,11,0,
en,24,solution.py,12,3,
en,24,solution.py,13,7,
en,24,solution.py,14,2,
en,24,solution.py,15,4,
en,24,solution.py,sample_01,3,
en,24,solution.py,sample_02,5,
