language,problem_number,suggestion,test_case,output,message
en,28,solution.py,01,4,
en,28,solution.py,02,2,
en,28,solution.py,03,18,
en,28,solution.py,04,0,
en,28,solution.py,05,50,
en,28,solution.py,06,0,
en,28,solution.py,07,99,
en,28,solution.py,08,20,
en,28,solution.py,09,-10,
en,28,solution.py,10,15,
en,28,solution.py,11,0,
en,28,solution.py,12,60,
en,28,solution.py,13,3,
en,28,solution.py,14,6,
en,28,solution.py,15,75,
en,28,solution.py,sample_01,2,
en,28,solution.py,sample_02,3,
