language,problem_number,suggestion,test_case,output,message
en,13,solution.py,01,37,
en,13,solution.py,02,31,
en,13,solution.py,03,41,
en,13,solution.py,04,36,
en,13,solution.py,05,39,
en,13,solution.py,06,37,
en,13,solution.py,07,43,
en,13,solution.py,08,43,
en,13,solution.py,09,40,
en,13,solution.py,10,38,
en,13,solution.py,11,39,
en,13,solution.py,12,37,
en,13,solution.py,13,38,
en,13,solution.py,14,41,
en,13,solution.py,15,41,
en,13,solution.py,sample_01,3,
en,13,solution.py,sample_02,4,
en,13,solution.py,sample_03,2,
