language,problem_number,suggestion,test_case,output,message
en,23,solution.py,01,2,
en,23,solution.py,02,2,
en,23,solution.py,03,4,
en,23,solution.py,04,3,
en,23,solution.py,05,3,
en,23,solution.py,06,2,
en,23,solution.py,07,2,
en,23,solution.py,08,2,
en,23,solution.py,09,3,
en,23,solution.py,10,3,
en,23,solution.py,11,2,
en,23,solution.py,12,2,
en,23,solution.py,13,3,
en,23,solution.py,14,3,
en,23,solution.py,15,2,
en,23,solution.py,sample_01,2,
en,23,solution.py,sample_02,2,
