language,problem_number,suggestion,test_case,output,message
en,26,solution.py,01,10,
en,26,solution.py,02,30,
en,26,solution.py,03,16,
en,26,solution.py,04,600,
en,26,solution.py,05,2,
en,26,solution.py,06,24,
en,26,solution.py,07,100,
en,26,solution.py,08,28,
en,26,solution.py,09,400,
en,26,solution.py,10,110,
en,26,solution.py,11,10,
en,26,solution.py,12,42,
en,26,solution.py,13,30,
en,26,solution.py,14,60,
en,26,solution.py,15,1600,
en,26,solution.py,sample_01,18,
en,26,solution.py,sample_02,9,
