language,problem_number,suggestion,test_case,output,message
en,22,solution.py,01,3,
en,22,solution.py,02,1,
en,22,solution.py,03,5,
en,22,solution.py,04,3,
en,22,solution.py,05,3,
en,22,solution.py,06,2,
en,22,solution.py,07,3,
en,22,solution.py,08,3,
en,22,solution.py,09,4,
en,22,solution.py,10,2,
en,22,solution.py,11,2,
en,22,solution.py,12,1,
en,22,solution.py,13,2,
en,22,solution.py,14,2,
en,22,solution.py,15,1,
en,22,solution.py,sample_01,3,
en,22,solution.py,sample_02,1,
