language,problem_number,suggestion,test_case,output,message
en,12,solution.py,01,[775279786],
en,12,solution.py,02,[185256822],
en,12,solution.py,03,[425911720],
en,12,solution.py,04,[736223718],
en,12,solution.py,05,[681747056],
en,12,solution.py,06,[226369578],
en,12,solution.py,07,[674275298],
en,12,solution.py,08,[589162033],
en,12,solution.py,09,[531664470],
en,12,solution.py,10,[302192999],
en,12,solution.py,11,[242512804],
en,12,solution.py,12,[60681133],
en,12,solution.py,13,[263775612],
en,12,solution.py,14,[154402129],
en,12,solution.py,15,[986371763],
en,12,solution.py,sample_01,"[1, 2]",
en,12,solution.py,sample_02,"[1, 2, 4, 8]",
