language,problem_number,suggestion,test_case,output,message
en,21,solution.py,01,1,
en,21,solution.py,02,6,
en,21,solution.py,03,10,
en,21,solution.py,04,6,
en,21,solution.py,05,15,
en,21,solution.py,06,6,
en,21,solution.py,07,3,
en,21,solution.py,08,6,
en,21,solution.py,09,36,
en,21,solution.py,10,20,
en,21,solution.py,11,45,
en,21,solution.py,12,45,
en,21,solution.py,13,36,
en,21,solution.py,14,45,
en,21,solution.py,15,45,
en,21,solution.py,sample_01,3,
en,21,solution.py,sample_02,0,
