language,problem_number,suggestion,test_case,output,message
en,17,solution.py,01,2,
en,17,solution.py,02,2,
en,17,solution.py,03,4,
en,17,solution.py,04,3,
en,17,solution.py,05,4,
en,17,solution.py,06,3,
en,17,solution.py,07,2,
en,17,solution.py,08,3,
en,17,solution.py,09,2,
en,17,solution.py,10,4,
en,17,solution.py,11,3,
en,17,solution.py,12,4,
en,17,solution.py,13,3,
en,17,solution.py,14,3,
en,17,solution.py,15,3,
en,17,solution.py,sample_01,3,
en,17,solution.py,sample_02,-1,
en,17,solution.py,sample_03,0,
