language,problem_number,suggestion,test_case,output,message
en,16,solution.py,01,7,
en,16,solution.py,02,31,
en,16,solution.py,03,5271,
en,16,solution.py,04,74516,
en,16,solution.py,05,1,
en,16,solution.py,06,13,
en,16,solution.py,07,29,
en,16,solution.py,08,61,
en,16,solution.py,09,14,
en,16,solution.py,10,16646200,
en,16,solution.py,11,42,
en,16,solution.py,12,29,
en,16,solution.py,13,15,
en,16,solution.py,14,464,
en,16,solution.py,15,0,
en,16,solution.py,sample_01,7,
en,16,solution.py,sample_02,0,
