language,problem_number,suggestion,test_case,output,message
en,06,solution.py,01,38263752,
en,06,solution.py,02,1536000000,
en,06,solution.py,03,933120000,
en,06,solution.py,04,3936600,
en,06,solution.py,05,20155392,
en,06,solution.py,06,2700,
en,06,solution.py,07,335923200,
en,06,solution.py,08,506250000,
en,06,solution.py,09,425152800,
en,06,solution.py,10,279936000,
en,06,solution.py,11,188956800,
en,06,solution.py,12,212336640,
en,06,solution.py,13,4147200,
en,06,solution.py,14,32400,
en,06,solution.py,15,30720,
en,06,solution.py,sample_01,12,
en,06,solution.py,sample_02,1,
