language,problem_number,suggestion,test_case,output,message
en,31,solution.py,01,2,
en,31,solution.py,02,0,
en,31,solution.py,03,1,
en,31,solution.py,04,0,
en,31,solution.py,05,1,
en,31,solution.py,06,499999,
en,31,solution.py,07,0,
en,31,solution.py,08,2,
en,31,solution.py,09,1,
en,31,solution.py,10,0,
en,31,solution.py,11,0,
en,31,solution.py,12,0,
en,31,solution.py,13,0,
en,31,solution.py,14,0,
en,31,solution.py,15,0,
en,31,solution.py,sample_01,2,
en,31,solution.py,sample_02,1,
