language,problem_number,suggestion,test_case,output,message
en,08,solution.py,01,40,
en,08,solution.py,02,-25,
en,08,solution.py,03,250,
en,08,solution.py,04,0,
en,08,solution.py,05,0,
en,08,solution.py,06,120,
en,08,solution.py,07,45,
en,08,solution.py,08,15,
en,08,solution.py,09,1225,
en,08,solution.py,10,200,
en,08,solution.py,11,3525,
en,08,solution.py,12,3850,
en,08,solution.py,13,70,
en,08,solution.py,14,3300,
en,08,solution.py,15,660,
en,08,solution.py,sample_01,26,
en,08,solution.py,sample_02,0,
