language,problem_number,suggestion,test_case,output,message
en,25,solution.py,01,2,
en,25,solution.py,02,72,
en,25,solution.py,03,48,
en,25,solution.py,04,1110,
en,25,solution.py,05,110,
en,25,solution.py,06,630,
en,25,solution.py,07,2610,
en,25,solution.py,08,497,
en,25,solution.py,09,912,
en,25,solution.py,10,655,
en,25,solution.py,11,5950,
en,25,solution.py,12,207,
en,25,solution.py,13,3006,
en,25,solution.py,14,340,
en,25,solution.py,15,70,
en,25,solution.py,sample_01,167,
en,25,solution.py,sample_02,10,
