language,problem_number,suggestion,test_case,output,message
en,29,solution.py,01,3,
en,29,solution.py,02,7,
en,29,solution.py,03,8,
en,29,solution.py,04,5,
en,29,solution.py,05,8,
en,29,solution.py,06,5,
en,29,solution.py,07,12,
en,29,solution.py,08,15,
en,29,solution.py,09,8,
en,29,solution.py,10,3,
en,29,solution.py,11,7,
en,29,solution.py,12,8,
en,29,solution.py,13,6,
en,29,solution.py,14,9,
en,29,solution.py,15,3,
en,29,solution.py,sample_01,4,
en,29,solution.py,sample_02,4,
en,29,solution.py,sample_03,1,
