language,problem_number,suggestion,test_case,output,message
en,20,solution.py,01,8,
en,20,solution.py,02,0,
en,20,solution.py,03,8,
en,20,solution.py,04,0,
en,20,solution.py,05,5,
en,20,solution.py,06,2,
en,20,solution.py,07,815,
en,20,solution.py,08,1994,
en,20,solution.py,09,15,
en,20,solution.py,10,6,
en,20,solution.py,11,0,
en,20,solution.py,12,25,
en,20,solution.py,13,0,
en,20,solution.py,14,20,
en,20,solution.py,15,100,
en,20,solution.py,sample_01,3,
en,20,solution.py,sample_02,0,
