language,problem_number,suggestion,test_case,output,message
en,32,solution.py,01,"[catdog, dogfish, catfish, dogcat]",
en,32,solution.py,02,"[applepie, icecream, appleice]",
en,32,solution.py,03,"[blueberry, pancake, bluepan]",
en,32,solution.py,04,"[sunflower, moonstar, starsun]",
en,32,solution.py,05,"[redblue, bluegreen, greenred, bluered]",
en,32,solution.py,06,"[bookshelf, bookcase, shelfcase, casebook]",
en,32,solution.py,07,"[football, basketball, ballbasket, footbasket]",
en,32,solution.py,08,"[rainbow, raincloud, bowcloud]",
en,32,solution.py,09,"[snowman, snowflake, manflake, flakesnow]",
en,32,solution.py,10,"[chairtable, tableroom, chairroom, roomtable]",
en,32,solution.py,11,"[firework, fireplace, workplace, placefire]",
en,32,solution.py,12,"[cupcake, teacup, caketea, teacake]",
en,32,solution.py,13,"[blackboard, whiteboard, boardblack, boardwhite]",
en,32,solution.py,14,"[hotdog, hotcat, doghot, cathot]",
en,32,solution.py,15,"[playground, playhouse, groundhouse, houseplay]",
en,32,solution.py,sample_01,"[catsdogcats, dogcatsdog, ratcatdogcat]",
en,32,solution.py,sample_02,[catdog],
