language,problem_number,suggestion,test_case,output,message
en,07,solution.py,01,48,
en,07,solution.py,02,73205,
en,07,solution.py,03,676,
en,07,solution.py,04,26877,
en,07,solution.py,05,29,
en,07,solution.py,06,165,
en,07,solution.py,07,30471091,
en,07,solution.py,08,80811,
en,07,solution.py,09,80,
en,07,solution.py,10,273,
en,07,solution.py,11,363527,
en,07,solution.py,12,96,
en,07,solution.py,13,2093,
en,07,solution.py,14,1369,
en,07,solution.py,15,675,
en,07,solution.py,sample_01,32,
en,07,solution.py,sample_02,1,
