language,problem_number,suggestion,test_case,output,message
en,27,solution.py,01,1,
en,27,solution.py,02,2,
en,27,solution.py,03,13,
en,27,solution.py,04,20,
en,27,solution.py,05,21,
en,27,solution.py,06,23,
en,27,solution.py,07,57,
en,27,solution.py,08,140,
en,27,solution.py,09,174,
en,27,solution.py,10,200,
en,27,solution.py,11,259,
en,27,solution.py,12,301,
en,27,solution.py,13,1613,
en,27,solution.py,14,350000,
en,27,solution.py,15,600000,
en,27,solution.py,sample_01,6,
en,27,solution.py,sample_02,0,
