language,problem_number,suggestion,test_case,output,message
en,03,solution.py,01,"[1, 5, 10, 10, 5, 1]",
en,03,solution.py,02,"[1, 15, 105, 455, 1365, 3003, 5005, 6435, 6435, 5005, 3003, 1365, 455, 105, 15, 1]",
en,03,solution.py,03,"[1, 16, 120, 560, 1820, 4368, 8008, 11440, 12870, 11440, 8008, 4368, 1820, 560, 120, 16, 1]",
en,03,solution.py,04,"[1, 19, 171, 969, 3876, 11628, 27132, 50388, 75582, 92378, 92378, 75582, 50388, 27132, 11628, 3876, 969, 171, 19, 1]",
en,03,solution.py,05,"[1, 7, 21, 35, 35, 21, 7, 1]",
en,03,solution.py,06,"[1, 20, 190, 1140, 4845, 15504, 38760, 77520, 125970, 167960, 184756, 167960, 125970, 77520, 38760, 15504, 4845, 1140, 190, 20, 1]",
en,03,solution.py,07,"[1, 10, 45, 120, 210, 252, 210, 120, 45, 10, 1]",
en,03,solution.py,08,"[1, 1]",
en,03,solution.py,09,"[1, 17, 136, 680, 2380, 6188, 12376, 19448, 24310, 24310, 19448, 12376, 6188, 2380, 680, 136, 17, 1]",
en,03,solution.py,10,"[1, 4, 6, 4, 1]",
en,03,solution.py,11,"[1, 24, 276, 2024, 10626, 42504, 134596, 346104, 735471, 1307504, 1961256, 2496144, 2704156, 2496144, 1961256, 1307504, 735471, 346104, 134596, 42504, 10626, 2024, 276, 24, 1]",
en,03,solution.py,12,"[1, 6, 15, 20, 15, 6, 1]",
en,03,solution.py,13,"[1, 9, 36, 84, 126, 126, 84, 36, 9, 1]",
en,03,solution.py,14,"[1, 15, 105, 455, 1365, 3003, 5005, 6435, 6435, 5005, 3003, 1365, 455, 105, 15, 1]",
en,03,solution.py,15,"[1, 16, 120, 560, 1820, 4368, 8008, 11440, 12870, 11440, 8008, 4368, 1820, 560, 120, 16, 1]",
en,03,solution.py,sample_01,"[1, 3, 3, 1]",
en,03,solution.py,sample_02,[1],
en,03,solution.py,sample_03,"[1, 1]",
